 ,Sample Id,R,Acquisition Time,QC Status,Dataset File,Method File,"Na KED 23/23
Helium KED_LowLow
(ppb)","Mg KED 24/24
Helium KED_LowLow
(ppb)","Al KED 27/27
Helium KED_LowLow
(ppb)","P Oshift 31/47
Oxygen DRC
(ppb)","S (34) -1 34/34
Helium KED_LowLow
(ppb)","K KED 39/39
Helium KED_LowLow
(ppb)","Ca KED 43/43
Helium KED_LowLow
(ppb)","V KED 51/51
Helium KED_LowLow
(ppb)","Cr (52) 52/52
Helium KED_LowLow
(ppb)","Cr (53) NH3 53/53
Ammonia DRC
(ppb)","Fe (54) NH3 54/54
Ammonia DRC
(ppb)","Mn Oshift 55/71
Oxygen DRC
(ppb)","Fe (56) KED 56/56
Helium KED_LowLow
(ppb)","Co KED 59/59
Helium KED_LowLow
(ppb)","Ni KED 60/60
Helium KED_LowLow
(ppb)","Cu (63) KED 63/63
Helium KED_LowLow
(ppb)","Cu (65) NH3 65/65
Ammonia DRC
(ppb)","Zn NH3 66/66
Ammonia DRC
(ppb)","As 75/75
(ppb)","As KED 75/75
Helium KED_LowLow
(ppb)","As Oshift 75/91
Oxygen DRC
(ppb)","Se (77) 77/77
(ppb)","Se (77) Oshift 77/93
Oxygen DRC
(ppb)","Se (78) Oshift 78/94
Oxygen DRC
(ppb)","Se (80) Oshift 80/96
Oxygen DRC
(ppb)","Se (82) 82/82
(ppb)","Se (82) Oshift 82/98
Oxygen DRC
(ppb)","Mo (95) NH3 95/95
Ammonia DRC
(ppb)","Mo (95) OShift 95/127
Oxygen DRC
(ppb)",Rh (IS1) 103/103 (IS),"Rh (IS2) 103/103 (IS)
Oxygen DRC","Rh (IS4) 103/103 (IS)
Ammonia DRC","Rh (IS5) 103/103 (IS)
Ammonia DRC","Rh (IS6) 103/103 (IS)
Oxygen DRC","Rh (IS7) 103/103 (IS)
Helium KED_LowLow","Cd (111) NH3 111/111
Ammonia DRC
(ppb)","Cd (114) NH3 114/114
Ammonia DRC
(ppb)","Pb 208/208
(ppb)","Pb NH3 208/208
Ammonia DRC
(ppb)"
11,STD 10,,06/16/2023 12:58:58,,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\STD 10.660,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,9999.514,10083.083,10.373,5.793,9888.120,9980.414,10192.957,10.127,10.570,9.898,9.801,10.226,9.661,10.203,9.686,10.121,9.921,9.431,10.864,10.009,9.964,10.637,9.942,10.185,10.089,10.358,10.333,10.096,10.100,93.1%,89.3%,90.6%,91.6%,89.4%,91.1%,9.801,9.801,9.409,9.917
12,STD 25,,06/16/2023 13:04:58,,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\STD 25.661,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,25949.601,25382.743,26.438,15.754,25263.259,25792.600,25454.050,25.999,26.778,26.122,25.926,26.144,25.016,26.238,24.884,25.706,25.612,24.467,27.752,26.379,26.398,25.843,26.888,26.649,26.852,26.680,27.417,26.391,26.263,92.8%,84.3%,84.3%,86.0%,93.2%,87.4%,25.376,25.330,21.506,24.736
13,STD 50,,06/16/2023 13:10:58,,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\STD 50.662,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,51920.692,49981.348,52.415,35.808,50235.686,52623.484,51975.489,53.205,54.097,52.316,50.847,51.668,52.385,52.269,49.079,50.130,49.667,48.137,54.839,51.113,52.478,51.256,53.113,53.220,52.809,52.682,53.979,52.478,52.507,88.0%,79.2%,79.3%,81.3%,80.7%,82.8%,49.318,48.937,35.319,46.740
14,STD 100,,06/16/2023 13:16:57,,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\STD 100.663,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,108940.090,104423.210,109.062,76.941,102894.999,111261.013,108386.899,116.176,116.227,112.535,102.969,106.247,103.156,109.924,102.819,102.685,100.510,96.863,117.645,106.667,105.724,107.469,107.688,109.134,108.317,114.344,111.598,110.793,108.836,78.1%,72.2%,69.6%,71.7%,73.4%,74.8%,98.579,97.217,57.984,102.734
15,Calibration Curves,,06/16/2023 13:16:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,LBLANK,,06/16/2023 13:22:58,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LBLANK.664,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,60.451,4.505,-0.896,-0.236,324.034,71.074,42.478,0.001,-0.004,0.001,-0.597,0.001,-0.281,-0.005,0.035,-0.015,-0.015,0.459,0.033,-0.011,-0.002,-0.080,0.018,0.023,-0.006,0.004,-0.021,0.203,0.012,98.1%,97.3%,96.0%,97.6%,95.8%,95.6%,0.001,-0.001,-0.011,-0.007
17,LBLANK,,06/16/2023 13:41:50,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LBLANK.665,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,56.033,0.922,-0.789,-0.820,-463.606,66.307,39.668,0.001,-0.007,0.000,-0.576,0.000,-0.592,-0.007,0.007,-0.012,-0.010,-0.108,0.047,-0.011,-0.002,-0.161,0.014,0.016,-0.007,0.010,-0.021,0.055,0.007,94.3%,91.0%,91.3%,94.8%,89.1%,99.8%,0.001,-0.002,-0.011,-0.004
18,ICV PE,,06/16/2023 13:47:50,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\ICV PE.666,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,10056.505,10399.931,9.870,18.722,9864.534,9803.376,9913.820,10.010,10.513,10.132,10.071,10.203,9.918,10.096,9.790,10.057,10.028,9.713,9.728,9.076,10.002,6.985,9.902,10.140,10.140,9.837,9.958,9.525,9.551,90.8%,84.9%,86.6%,88.5%,84.4%,87.2%,9.573,9.621,9.273,9.520
19,CCV 1ppb TRACE,,06/16/2023 13:53:50,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb TRACE.667,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,55.656,0.915,-1.008,-0.993,-2402.653,50.002,40.546,0.000,-0.014,-0.003,-0.607,-0.001,-2.233,-0.007,-0.005,-0.013,-0.012,-0.212,0.715,-0.009,-0.004,-1.931,0.006,0.010,-0.009,-0.091,-0.021,0.036,0.001,102.1%,101.0%,101.5%,103.3%,100.1%,111.2%,0.001,-0.002,-0.011,-0.005
20,CCV 1ppb TRACE,,06/16/2023 14:00:07,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb TRACE.668,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,1051.190,1076.671,1.277,0.147,1270.645,1104.005,989.402,1.050,1.090,1.047,0.854,1.022,1.167,1.049,1.043,1.077,1.060,0.827,0.965,0.937,0.979,1.186,0.927,0.990,1.031,0.960,0.974,1.023,0.986,92.4%,90.3%,91.8%,93.0%,90.5%,91.6%,0.976,0.971,1.030,0.988
21,LFB,,06/16/2023 14:06:07,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LFB.669,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,10631.035,10937.220,10.705,11.531,10903.339,10615.197,10398.420,10.774,11.337,9.979,9.552,9.994,10.685,10.999,10.586,10.824,9.914,10.090,9.905,11.207,9.962,10.339,10.142,10.130,9.955,10.451,10.518,9.708,9.794,89.2%,83.4%,85.3%,86.7%,82.9%,80.9%,9.669,9.555,9.144,9.426
22,LLOQ 0.01,,06/16/2023 14:12:05,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LLOQ 0.01.670,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,68.763,11.998,0.318,1.221,404.900,74.120,49.600,0.012,0.007,0.013,-0.065,0.030,0.266,0.010,0.020,0.020,0.020,-0.004,0.056,0.003,0.008,0.028,0.019,0.024,0.000,0.031,0.002,0.050,0.022,93.1%,89.4%,92.1%,92.2%,87.9%,91.8%,0.010,0.009,0.008,0.014
23,CCV 10 ppb MAJORS,,06/16/2023 14:18:05,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb MAJORS.671,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,10122.889,10275.350,9.748,9.170,10255.166,9972.512,9698.068,10.134,10.551,10.450,10.021,10.458,9.830,10.445,10.281,10.306,10.327,10.427,9.974,10.240,10.240,10.506,9.980,9.993,10.189,10.205,10.285,10.198,10.256,88.3%,81.2%,83.3%,86.0%,82.3%,85.1%,9.842,9.854,9.350,9.671
24,LLOQ 0.1,,06/16/2023 14:24:05,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LLOQ 0.1.672,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,157.578,102.359,-0.738,-0.516,462.677,164.677,129.548,0.105,0.088,0.102,-0.260,0.107,0.131,0.096,0.105,0.109,0.107,0.014,0.138,0.094,0.095,0.138,0.096,0.108,0.092,0.057,0.132,0.136,0.101,93.2%,89.1%,90.8%,92.6%,86.4%,90.4%,0.098,0.093,0.089,0.094
25,9_13_21_F_11_DUP,,06/16/2023 14:30:04,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\9_13_21_F_11_DUP.673,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,6749.212,8683.495,8.796,2.754,14706.910,1924.659,33015.485,0.764,0.117,0.116,4.469,5.048,5.088,0.017,0.243,2.229,2.293,3.555,4.181,4.003,4.176,0.297,0.103,0.116,0.093,0.432,0.065,2.334,2.298,82.3%,78.6%,79.7%,82.1%,79.7%,82.8%,0.013,0.011,0.118,0.118
26,LBLANK,,06/16/2023 14:47:08,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LBLANK.675,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,55.723,1.560,-0.863,-0.869,243.568,64.291,40.997,0.001,-0.003,-0.001,-0.578,-0.001,-0.275,-0.006,0.000,-0.012,-0.010,-0.189,0.029,-0.002,-0.003,-0.105,0.010,0.006,-0.007,-0.018,-0.017,0.020,0.004,86.3%,83.4%,84.6%,86.4%,80.1%,84.3%,0.001,-0.002,-0.011,-0.004
27,0.5 STD,,06/16/2023 14:53:09,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\0.5 STD.676,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,567.101,543.087,0.490,1.430,822.519,587.999,554.306,0.509,0.538,0.526,0.574,0.514,0.745,0.514,0.520,0.564,0.583,0.560,0.542,0.477,0.507,0.426,0.514,0.535,0.505,0.456,0.562,0.518,0.504,85.3%,82.1%,83.4%,85.0%,80.5%,83.2%,0.498,0.501,0.519,0.511
28,0.1 STD,,06/16/2023 14:59:12,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\0.1 STD.677,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,155.882,102.416,-0.811,-0.013,408.199,159.433,148.202,0.089,0.097,0.099,-0.256,0.103,-0.029,0.099,0.104,0.097,0.103,-0.032,0.170,0.126,0.100,-0.085,0.138,0.108,0.097,0.069,0.045,0.111,0.102,86.0%,82.1%,84.5%,85.8%,80.0%,85.3%,0.105,0.100,0.096,0.094
29,CCV 10 ppb MAJORS,,06/16/2023 15:05:12,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb MAJORS.678,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,9998.191,10263.800,8.857,9.061,10259.644,10055.936,9931.579,10.170,10.489,10.398,10.040,10.378,9.823,10.272,10.095,10.171,10.319,10.349,10.012,10.291,10.249,10.140,10.410,10.203,10.292,10.332,10.348,10.169,10.324,84.0%,74.9%,78.3%,80.3%,76.7%,80.0%,9.893,9.921,9.371,9.774
30,9_13_21_F_11_DUP,,06/16/2023 15:11:13,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\9_13_21_F_11_DUP.679,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,6661.332,8884.620,9.215,2.630,14635.657,1901.312,32311.527,0.720,0.117,0.115,4.485,5.005,5.034,0.016,0.248,2.191,2.281,3.510,4.051,3.743,4.125,0.203,0.102,0.095,0.076,0.371,0.037,2.316,2.300,80.9%,75.8%,76.8%,78.7%,76.9%,81.0%,0.011,0.010,0.114,0.118
31,9_13_21_F_11_DUP_LSP,,06/16/2023 15:17:13,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\9_13_21_F_11_DUP_LSP.680,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,16372.294,18220.753,18.303,13.530,23548.685,11957.197,40450.958,10.876,10.539,10.467,14.868,14.791,14.809,10.206,9.952,11.848,11.897,13.184,13.769,13.802,13.709,10.125,9.717,9.891,9.566,10.743,9.706,12.193,12.204,79.7%,73.4%,74.0%,76.0%,73.3%,76.6%,9.760,9.734,9.384,9.635
32,9_13_21_UF_1,,06/16/2023 15:23:13,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\9_13_21_UF_1.681,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,8600.898,6172.450,1.144,7.777,21031.200,2115.009,33630.246,0.318,0.071,0.057,0.399,13.148,1.366,0.026,0.500,0.592,0.644,1.187,3.935,3.679,3.930,0.330,0.107,0.037,0.040,0.364,0.056,15.463,15.692,80.7%,75.5%,76.7%,79.6%,76.7%,78.5%,0.008,0.005,0.042,0.045
33,9_13_21_UF_6,,06/16/2023 15:29:13,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\9_13_21_UF_6.682,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,9119.813,7168.019,0.041,2.434,15318.654,1909.349,33678.119,0.647,0.084,0.061,0.122,12.044,1.173,0.017,0.258,1.805,1.868,2.203,4.012,3.879,4.107,0.390,0.113,0.095,0.077,0.477,0.074,5.991,6.012,80.6%,75.1%,75.0%,79.3%,76.7%,78.9%,0.016,0.013,0.059,0.063
34,9_13_21_UF_6_DUP,,06/16/2023 15:35:13,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\9_13_21_UF_6_DUP.683,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,9054.730,7120.869,0.027,2.437,15410.929,1870.787,33131.715,0.658,0.106,0.092,0.281,11.918,1.176,0.016,0.265,1.812,1.860,1.786,4.147,3.918,4.167,0.371,0.077,0.066,0.074,0.462,0.062,5.914,5.998,78.3%,73.6%,75.2%,76.4%,74.1%,77.5%,0.017,0.012,0.063,0.063
35,9_13_21_UF_8,,06/16/2023 15:41:13,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\9_13_21_UF_8.684,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,9413.630,6987.086,-0.009,2.914,13899.282,1983.053,32356.616,0.845,0.075,0.057,0.028,10.639,0.889,0.012,0.259,1.603,1.610,0.987,4.550,3.985,4.517,0.206,0.077,0.080,0.073,0.360,0.058,4.952,5.042,77.8%,73.1%,74.9%,76.8%,74.1%,76.3%,0.011,0.007,0.050,0.052
36,9_13_21_UF_9,,06/16/2023 15:47:13,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\9_13_21_UF_9.685,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,8672.948,7152.998,0.265,2.690,12879.508,1879.952,29543.549,0.736,0.100,0.077,0.196,3.852,1.117,0.010,0.208,1.486,1.479,0.738,3.771,3.622,3.875,0.412,0.089,0.072,0.063,0.386,0.082,3.758,3.845,78.7%,73.1%,74.6%,76.0%,73.7%,76.6%,0.007,0.003,0.050,0.051
37,LBLANK,,06/16/2023 15:53:13,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LBLANK.686,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,54.445,0.236,-0.963,-0.874,236.452,59.288,40.415,0.000,-0.011,-0.001,-0.574,0.000,-0.405,-0.008,0.000,-0.010,-0.011,-0.225,0.098,0.035,0.039,-0.021,0.006,0.008,-0.007,-0.005,-0.021,-0.003,0.003,84.0%,78.6%,81.5%,83.5%,77.5%,81.8%,0.001,-0.003,-0.010,-0.004
38,CCV 1ppb TRACE,,06/16/2023 15:59:13,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb TRACE.687,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,1190.599,1169.692,1.234,0.070,1723.162,1147.567,1120.438,1.117,1.141,1.043,0.852,1.011,1.386,1.109,1.132,1.130,1.067,0.844,0.969,1.114,1.004,1.080,0.989,1.033,0.956,1.023,0.997,0.979,1.002,83.1%,78.5%,79.8%,81.6%,78.0%,77.2%,1.005,0.978,1.051,1.016
39,CCV 1ppb TRACE,,06/16/2023 16:05:32,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb TRACE.688,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,1057.704,1073.308,1.221,0.097,1427.395,1096.092,1040.061,1.055,1.069,1.073,0.928,1.031,1.240,1.041,1.100,1.044,1.068,0.838,0.928,1.080,1.016,1.154,0.943,1.012,0.975,0.959,1.106,0.993,1.010,83.2%,78.5%,80.8%,82.5%,78.1%,82.1%,0.997,0.982,1.065,1.006
40,CCV 10 ppb MAJORS,,06/16/2023 16:11:33,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb MAJORS.689,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,9961.715,10510.633,9.751,8.857,10582.150,10164.733,9939.210,10.159,10.458,10.316,10.247,10.225,9.897,10.292,9.927,10.115,10.131,10.346,9.716,10.268,9.996,10.244,9.977,10.164,10.088,10.065,10.174,9.911,10.091,82.6%,73.8%,76.9%,78.3%,74.4%,78.4%,9.834,9.895,9.659,9.889
