 ,Sample Id,R,Acquisition Time,QC Status,Dataset File,Method File,"Na KED 23/23
Helium KED_Low
(ppb)","Mg KED 24/24
Helium KED_Low
(ppb)","Al KED 27/27
Helium KED_Low
(ppb)","P Oshift 31/47
Oxygen DRC
(ppb)","S (34) -1 34/34
Helium KED_Low
(ppb)","K KED 39/39
Helium KED_Low
(ppb)","Ca KED 43/43
Helium KED_Low
(ppb)","V KED 51/51
Helium KED_Low
(ppb)","Cr (52) 52/52
Helium KED_Low
(ppb)","Cr (53) NH3 53/53
Ammonia DRC
(ppb)","Fe (54) NH3 54/54
Ammonia DRC
(ppb)","Mn Oshift 55/71
Oxygen DRC
(ppb)","Fe (56) KED 56/56
Helium KED_Low
(ppb)","Co KED 59/59
Helium KED_Low
(ppb)","Ni KED 60/60
Helium KED_Low
(ppb)","Cu (63) KED 63/63
Helium KED_Low
(ppb)","Cu (65) NH3 65/65
Ammonia DRC
(ppb)","Zn NH3 66/66
Ammonia DRC
(ppb)","As 75/75
(ppb)","As KED 75/75
Helium KED_Low
(ppb)","As  RH Oshift 75/91
Oxygen DRC
(ppb)","As Oshift 75/91
Oxygen DRC
(ppb)","Se (77) 77/77
(ppb)","Se (77) Oshift 77/93
Oxygen DRC
(ppb)","Se (78) Oshift 78/94
Oxygen DRC
(ppb)","Se (80) Oshift 80/96
Oxygen DRC
(ppb)","Se (82) 82/82
(ppb)","Se (82) Oshift 82/98
Oxygen DRC
(ppb)","Y 89/89
(ppb)","Y (EDR) 89/89
(ppb)","Mo (95) NH3 95/95
Ammonia DRC
(ppb)","Mo (95) OShift 95/127
Oxygen DRC
(ppb)",Rh (IS1) 103/103 (IS),"Rh (IS2) 103/103 (IS)
Oxygen DRC","Rh (IS3) 103/103 (IS)
Helium KED_Low","Rh (IS4) 103/103 (IS)
Ammonia DRC","Rh (IS5) 103/103 (IS)
Ammonia DRC","Rh (IS6) 103/103 (IS)
Oxygen DRC","Rh OShift (IS1) 103/119 (IS)
Oxygen DRC","Cd (111) NH3 111/111
Ammonia DRC
(ppb)","Cd (114) NH3 114/114
Ammonia DRC
(ppb)","In 115/115
(ppb)","Pb 208/208
(ppb)","Pb NH3 208/208
Ammonia DRC
(ppb)"
11,STD 25,R,5/15/2023 16:42,,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\STD 25.011,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,25217.329,25131.111,24.715,33.06,24291.486,25691.064,25322.914,26.574,26.864,25.829,25.378,25.641,25.841,25.596,25.783,26.058,25.129,25.032,26.06,26.632,23.814,25.371,22.571,27.133,25.495,25.91,28.099,24.649,,,25.805,25.292,93.70%,88.70%,87.90%,92.20%,91.70%,75.90%,89.50%,25.122,24.829,,25.15,23.291
12,Calibration Curves,R,5/15/2023 16:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,STD 50,R,5/15/2023 16:47,,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\STD 50.012,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,48597.201,48259.711,47.637,50.217,49408.038,50184.329,52099.326,54.977,54.76,52.602,50.514,54.075,51.406,52.471,53.554,51.985,50.27,49.599,62.714,53.098,50.76,53.92,53.662,57.091,55.357,55.607,67.329,52.505,,,53.883,55.497,78.90%,83.00%,87.60%,90.70%,89.70%,88.10%,83.20%,50.475,50.179,,59.463,46.434
14,Calibration Curves,R,5/15/2023 16:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,STD 100,R,5/15/2023 16:53,,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\STD 100.013,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,86764.323,83084.623,84.442,92.465,87717.203,91895.319,98647.609,105.129,105.2,105.041,100.933,105.06,97.268,100.418,98.424,96.791,97.852,94.546,103.742,99.63,93.304,102.497,89.085,111.428,106.335,106.909,111.518,101.302,,,111.007,109.143,90.50%,80.90%,91.80%,86.30%,110.40%,83.70%,83.30%,98.997,98.449,,93.6,54.259
16,Calibration Curves,R,5/15/2023 16:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,STD 200.4,R,5/15/2023 16:59,,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\STD 200.4.014,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,202160.067,189457.547,201.124,370.323,207403.645,216923.791,232005.396,0.273,0.354,0.289,193.692,1.367,226.775,0.134,1.233,-0.062,0.206,0.842,0.195,0.048,0.35,0.026,0.67,0.072,0.129,0.064,1.259,0.042,,,1.686,0.12,73.80%,68.60%,75.30%,75.10%,70.00%,69.10%,73.30%,0.014,0.017,,0.075,0.078
18,Calibration Curves,R,5/15/2023 16:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,LBLANK,R,5/15/2023 17:04,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LBLANK.015,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,142.948,63.442,-0.107,-0.405,471.427,144.685,158.687,0.082,-0.005,0.001,-0.105,-0.001,-0.046,0.001,0.189,-0.105,-0.102,-0.179,-0.029,0.01,0.33,0.003,0.145,-0.019,0.012,-0.003,0.068,0.002,,,0.034,0.007,106.30%,101.20%,116.50%,105.50%,103.30%,97.50%,109.50%,0,0.001,,-0.001,0
20,ICV PE,R,5/15/2023 17:10,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\ICV PE.016,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,8846.201,9400.134,9.571,-0.254,9670.29,9254.273,9599.088,9.872,10.193,10.913,10.775,9.85,10,10.209,10.638,10.045,10.901,10.044,9.391,8.862,8.736,9.548,6.169,10.572,9.613,9.696,10.224,9.189,,,10.728,9.717,102.80%,94.20%,102.60%,92.00%,98.10%,95.10%,99.80%,10.598,10.653,,9.427,9.439
21,ICV PE,R,5/15/2023 17:16,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\ICV PE.017,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,8509.018,8948.229,8.809,-0.269,8629.598,8581.627,9237.108,9.659,9.599,10.611,10.679,10.885,9.392,9.653,10.028,9.597,10.639,9.831,9.397,8.353,9.853,10.59,5.778,11.074,10.701,10.853,10.229,10.653,,,10.606,10.892,100.30%,84.80%,105.00%,90.80%,94.70%,90.50%,87.90%,10.528,10.559,,9.306,9.681
22,CCV 1ppb,R,5/15/2023 17:22,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb.018,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,948.239,922.745,0.703,0.466,1397.432,944.405,966.679,0.964,0.904,0.995,0.852,0.921,0.817,0.914,1.019,0.855,0.917,0.808,0.879,0.802,1.117,0.889,0.811,0.865,0.896,0.93,0.878,0.834,,,1.011,0.928,104.10%,99.50%,112.30%,101.10%,102.70%,95.30%,104.40%,0.987,0.995,,0.935,0.944
23,CCV 1ppb,R,5/15/2023 17:28,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb.019,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1026.114,1014.274,0.738,0.496,1747.88,1015.615,1066.503,1.054,0.992,0.992,0.903,0.958,0.981,1.041,1.12,0.952,0.956,0.78,0.851,0.967,1.179,0.935,0.781,0.922,0.907,0.891,0.952,0.874,,,1.015,0.972,108.40%,94.10%,105.70%,101.00%,102.10%,94.10%,96.40%,1.01,0.995,,0.885,0.937
24,LFB,R,5/15/2023 17:34,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LFB.020,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,2515.399,2530.65,6.116,2.208,2926.697,2509.185,2624.451,2.662,2.646,2.375,2.323,2.454,2.603,2.678,2.729,2.571,2.436,2.191,2.918,2.804,2.491,2.412,3.307,2.533,2.5,2.498,3.284,2.184,,,2.49,2.442,81.60%,90.90%,96.80%,99.40%,97.70%,89.00%,94.60%,2.468,2.474,,3.05,2.35
25,LFB,R,5/15/2023 17:41,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LFB.021,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,2221.169,2292.789,5.538,2.003,2505.233,2124.819,2117.767,2.285,2.282,2.464,2.339,2.402,2.122,2.251,2.454,2.192,2.472,2.239,2.379,2.084,2.571,2.372,2.282,2.244,2.45,2.455,2.646,2.394,,,2.553,2.394,101.30%,94.30%,112.80%,97.80%,107.60%,96.10%,93.00%,2.557,2.56,,2.393,2.121
26,LLOQ 0.01,R,5/15/2023 17:46,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LLOQ 0.01.022,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,136.367,73.982,0.264,-0.034,849.879,136.848,160.297,0.092,0.014,0.022,0.056,0.011,0.112,0.011,0.033,-0.085,-0.09,-0.163,-0.028,0.031,0.338,0.012,0.075,-0.004,0,0.005,-0.072,0.002,,,0.01,0.014,105.30%,95.30%,110.30%,100.80%,100.20%,96.50%,97.40%,0.009,0.01,,0.009,0.009
27,CCV 10 ppb,R,5/15/2023 17:52,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb.023,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,9401.236,8912.539,8.733,9.227,9013.023,8907.759,9171.679,9.508,9.476,10.689,10.335,9.784,8.98,9.682,9.909,9.32,10.862,10.104,11.142,9.437,9.708,9.752,10.346,10.153,9.506,9.624,12.247,9.364,,,11.05,9.961,87.20%,89.60%,106.00%,88.40%,92.20%,91.00%,87.30%,10.801,10.93,,10.854,9.072
28,CCV 10 ppb,R,5/15/2023 17:58,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb.024,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,9576.092,9576.746,8.812,9.162,9656.795,9148.465,9156.267,9.731,9.928,10.392,10.131,9.548,9.521,9.974,10.09,9.926,10.512,9.797,9.745,9.808,9.339,9.55,8.995,9.656,9.437,9.393,10.803,9.063,,,10.643,9.788,98.10%,92.80%,102.40%,89.50%,89.60%,91.20%,91.80%,10.422,10.459,,9.374,9.385
29,ICV LOW,R,5/15/2023 18:04,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\ICV LOW.025,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1099.379,1134.054,10.216,8.855,1129.344,1066.344,1359.567,10.344,10.352,9.465,9.338,9.462,9.902,10.345,10.742,10.624,9.786,8.926,8.572,10.546,8.933,9.126,7.938,9.426,8.907,8.839,9.026,8.629,,,9.573,9.515,110.00%,96.80%,102.30%,98.80%,98.00%,94.70%,95.70%,9.668,9.626,,8.983,8.98
30,ICV LOW,R,5/15/2023 18:10,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\ICV LOW.026,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1016.821,1076.931,9.677,8.009,639.103,996.705,1114.36,8.928,9.205,9.543,9.437,9.708,8.648,9.124,9.378,9.288,9.863,9.039,8.904,9.076,8.779,9.392,7.962,9.82,9.189,9.122,9.327,8.501,,,9.758,9.639,107.80%,93.90%,114.30%,95.90%,95.40%,101.70%,97.40%,9.867,9.933,,9.336,9.19
31,LBLANK,R,5/15/2023 18:16,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LBLANK.027,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,126.762,58.09,-0.02,-0.454,596.882,131.749,144.147,0.083,-0.003,0.002,-0.112,0,-0.085,0.001,0.008,-0.103,-0.104,-0.179,-0.043,0.01,0.329,0.002,0.142,-0.014,-0.001,0.003,-0.025,0.003,,,0.001,0.006,102.80%,94.40%,118.40%,94.40%,96.40%,94.10%,92.70%,0,0.001,,0,-0.001
32,6_21_21_UF_1,R,5/15/2023 18:33,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\UF1.029,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,4069.471,2878.812,2.342,25.876,7384.083,903.516,15602.527,0.294,0.049,0.066,0.83,33.391,0.571,0.02,0.155,1.011,1.628,0.675,5.569,3.422,5.18,5.41,0.318,0.007,0.022,0.052,0.221,0.042,,,8.698,8.459,101.60%,91.80%,104.00%,90.00%,92.10%,91.80%,95.50%,0.007,0.009,,0.079,0.081
33,6_21_21_UF_6,R,5/15/2023 18:39,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\UF6.030,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,7174.797,5013.61,1.695,15.562,11119.236,1446.337,24739.842,0.668,0.05,0.055,0.423,13.443,0.711,0.023,0.203,2.322,2.412,0.704,5.389,4.677,5.333,5.666,0.367,0.036,0.057,0.061,0.283,0.066,,,6.161,6.195,98.30%,87.40%,104.60%,89.00%,90.00%,91.20%,92.40%,0.011,0.013,,0.073,0.073
34,6_21_21_UF_8,R,5/15/2023 18:45,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\UF8.031,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,8817.005,6114.4,1.496,18.966,11074.074,1606.265,27758.689,0.989,0.052,0.046,0.442,15.712,0.815,0.022,0.226,4.076,4.098,1.363,5.443,5.19,5.448,5.484,0.299,0.018,0.039,0.064,0.283,0.083,,,5.557,5.367,99.30%,90.60%,100.30%,87.60%,89.50%,89.80%,90.60%,0.016,0.014,,0.078,0.08
35,6_21_21_UF_9,R,5/15/2023 18:51,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\UF9.032,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,6772.947,5446.088,1.413,22.361,8059.887,1339.79,23691.142,0.744,0.041,0.038,0.318,9.383,0.642,0.016,0.188,2.282,2.301,0.85,4.006,3.783,4.013,3.956,0.282,0.053,0.063,0.048,0.246,0.042,,,3.107,3.006,99.00%,91.90%,102.40%,89.20%,89.50%,90.10%,92.00%,0.011,0.013,,0.084,0.083
36,6_21_21_UF_10,R,5/15/2023 18:57,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\UF10.033,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,7359.079,6988.317,0.905,24.54,11296.968,1616.462,29693.766,0.948,0.066,0.049,0.25,8.047,0.666,0.014,0.238,2.325,2.34,0.512,4.509,3.841,4.49,4.54,0.342,0.012,0.098,0.068,0.271,0.062,,,2.748,2.644,99.20%,91.00%,100.90%,89.30%,89.70%,90.80%,92.90%,0.013,0.014,,0.075,0.079
37,6_21_21_UF_11,R,5/15/2023 19:02,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\UF11.034,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,7121.259,7172.598,3.982,24.441,10472.087,1571.026,28986.361,0.865,0.049,0.046,0.264,6.724,0.664,0.015,0.14,2.234,2.314,0.583,4.462,4.157,4.372,4.519,0.308,0.033,0.056,0.062,0.322,0.086,,,2.496,2.413,101.10%,91.10%,103.90%,89.10%,90.30%,91.30%,95.00%,0.012,0.013,,0.074,0.081
38,6_21_21_F_1,R,5/15/2023 19:08,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\F1.035,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,5334.709,4311.146,6.262,34.45,12509.969,1370.003,23833.865,0.348,0.055,0.049,11.789,35.654,12.214,0.035,0.279,2.272,2.265,1.275,5.913,4.944,5.763,5.943,0.283,0.048,0.055,0.063,0.24,0.031,,,8.72,9.229,101.10%,91.30%,108.00%,94.40%,92.60%,92.30%,93.20%,0.009,0.01,,0.109,0.112
39,6_21_21_F_1_DUP,R,5/15/2023 19:14,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\F1 DUP.036,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,5523.521,4501.169,5.831,34.686,13230.768,1348.906,24278.176,0.325,0.112,0.129,12.523,34.512,12.75,0.034,0.3,2.466,2.511,1.405,5.816,5.694,5.804,5.801,0.288,0.002,0.056,0.054,0.257,0.055,,,9.216,8.809,101.80%,91.10%,101.40%,89.20%,91.40%,90.30%,90.50%,0.01,0.011,,0.108,0.105
40,F1 DUP LD,R,5/15/2023 19:20,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\F1 DUP LD.037,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,5411.379,4353.753,6.275,34.171,12920.519,1411.385,23810.031,0.353,0.128,0.127,12.064,34.642,12.872,0.03,0.33,2.478,2.424,1.368,5.8,5.284,5.727,5.814,0.213,0.024,0.039,0.051,0.207,0.064,,,9.035,8.902,98.90%,89.20%,100.60%,89.00%,89.50%,89.90%,89.70%,0.011,0.011,,0.105,0.108
41,F1 DUP LD,R,5/15/2023 19:26,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\F1 DUP LD.038,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,5190.797,4133.833,6.706,33.043,12138.612,1335.543,23565.636,0.359,0.108,0.125,12.095,38.268,12.306,0.031,0.307,2.348,2.438,1.38,5.857,5.379,6.348,6.343,0.311,0.021,0.061,0.05,0.226,0.02,,,9.044,9.754,99.80%,85.50%,104.00%,89.00%,89.80%,89.80%,84.60%,0.01,0.012,,0.106,0.11
